dba_name,postal_code,poi_cbg,visitor_home_cbgs,visitor_daytime_cbgs,naics_description,address,Incoming_Visitor_home_census_blocks,POI_risk_final
'TIL DEATH TATTOO,92113,60730033053,{},{},TATTOO PARLORS - BOOTH RENTAL,LOGAN AVE,{},0
(W)RIGHT ON COMMUNICATIONS INC,92037,60730082002,"{""060730178113"":4,""530610532023"":4,""060590525272"":4,""060379200152"":4,""420199124023"":4,""060650420052"":4}","{""060730085061"":4,""040131048011"":4,""530530734044"":4,""060730171071"":4,""060730185143"":4,""132930105003"":4,""060590525272"":4}",PUBLIC RELATIONS AGENCIES,PROSPECT ST,"{'06073017811': 4, '53061053202': 4, '06059052527': 4, '06037920015': 4, '42019912402': 4, '06065042005': 4}",0.111909443
1 A LIVESCAN SAN DIEGO,92116,60730018006,"{""060730017003"":4,""060730170212"":4}","{""060730170542"":4,""060590525274"":4,""060650418081"":4}","ALL OTH PROF, SCIENTIFIC & TECHNICAL SERVICES",ADAMS AVE,"{'06073001700': 4, '06073017021': 4}",0.28600239
1 AMERICAN LIVESCAN,92123,60730093064,"{""060730092011"":5,""060730095051"":4,""060730133012"":4,""060730093064"":4,""060730168041"":4,""060730200163"":4,""060730087021"":4}","{""060730034042"":5,""060730031033"":4,""060730097052"":4,""060730134191"":4,""060730095111"":4,""060650432472"":4,""060730030031"":4,""060730146021"":4,""060730096034"":4,""060730093061"":4}",INVESTIGATION SERVICES,MURPHY CANYON RD,"{'06073009201': 5, '06073009505': 4, '06073013301': 4, '06073009306': 4, '06073016804': 4, '06073020016': 4, '06073008702': 4}",0.814787665
113FM RADIO NETWORK,92101,60730052001,"{""060730052002"":4,""060650427281"":4}","{""060730052001"":5,""060730170421"":4,""320030034151"":4,""060730100141"":4,""060650427281"":4,""060730054001"":4}",BROADCASTING & TELECOMMUNICATIONS,15TH ST,"{'06073005200': 4, '06065042728': 4}",0.449671571
1490 AIRWING ROAD LLC,92154,60730100141,{},"{""201550012002"":4,""060730100141"":4}",LESSORS OF OTHER REAL ESTATE PROPERTY,AIR WING RD,{},0
1626 WEALTH MANAGEMENT INC,92130,60730083332,"{""060730083331"":6,""060730083353"":4,""060590875033"":4,""060730083302"":4}","{""060374326012"":4,""060730200172"":4}",INVESTMENT BANKING & SECURITIES DEALING,CARMEL MOUNTAIN RD,"{'06073008333': 6, '06073008335': 4, '06059087503': 4, '06073008330': 4}",0.341521544
1798 LLC,92037,60730082002,"{""060590320441"":4,""060730083651"":4,""060730156013"":4,""060650505005"":4,""060730133101"":4,""060730081021"":4,""060590019032"":4}","{""060730083032"":4,""040134226393"":4,""060730136044"":4,""040130715161"":4,""260992218001"":4,""060730027121"":4,""060730039024"":4,""060590019032"":4}",CONSULTING SERVICES,PROSPECT ST,"{'06059032044': 4, '06073008365': 4, '06073015601': 4, '06065050500': 4, '06073013310': 4, '06073008102': 4, '06059001903': 4}",0.619247854
1904 ENTERTAINMENT LLC,92101,60730052001,"{""060730099021"":4,""060730027034"":4,""060670051012"":4,""060730056002"":4,""060730052001"":4}","{""060730127001"":4,""060730133131"":4,""530530609051"":4,""060650432402"":4,""060730032111"":4}",RETAIL TRADE,BROADWAY nan,"{'06073009902': 4, '06073002703': 4, '06067005101': 4, '06073005600': 4, '06073005200': 4}",0.78551477
1CALL4CARE LLC,92111,60730085111,"{""060730027074"":4}",{},CONSULTING SERVICES,VICKERS ST,{'06073002707': 4},0.417177319
1REALTOUR LLC,92115,60730028042,"{""060590422051"":4}",{},COMPUTER SYSTEMS DESIGN SERVICES,ADAMS AVE,{'06059042205': 4},0
2-D STAGE LIGHTING ELECTRIC INC,92154,60730132051,"{""060730101062"":4}","{""060730101062"":4,""060730023023"":4}",ELECTRICAL CONTRACTORS,VERUS ST,{'06073010106': 4},0.562497083
2013061391,92037,60730083611,"{""060730083621"":4,""060730089014"":4,""060730085012"":4,""482015108002"":4}","{""060730031092"":4,""482015108003"":4,""060730083611"":4,""060710073023"":4,""060730218001"":4,""060650430082"":4}",FULL-SERVICE RESTAURANTS,HOLIDAY CT,"{'06073008362': 4, '06073008901': 4, '06073008501': 4, '48201510800': 4}",0.365848251
2321 5TH AVE LLC,92101,60730059001,"{""060730040002"":4,""060730058001"":4,""060730032093"":4}","{""060590015043"":4,""060730032093"":4,""517600605001"":4}",LESSORS OF NONRES BLDG (EXC MINIWAREHOUSE),5TH AVE,"{'06073004000': 4, '06073005800': 4, '06073003209': 4}",0.777437884
24 HOUR FITNESS,92119,60730098041,"{""060730150004"":6,""060730140022"":4,""060730028034"":4,""060730136051"":4,""060730136013"":4,""060730098011"":4,""060730147001"":4,""060730162012"":4,""060730096042"":4,""060730098043"":4,""060730138011"":4,""060730135032"":4,""060730161002"":4,""060730098041"":4,""060730153012"":4,""060730150002"":4,""060730035013"":4}","{""060730157042"":4,""060730085111"":4,""260992308002"":4,""060730098043"":4,""060730148042"":4,""060730166054"":4,""060730170423"":4,""060730150004"":4,""060730161002"":4,""060730098053"":4,""060730150002"":4,""060730135032"":4,""060730170473"":4,""060730140022"":4,""060730035013"":4,""060730028042"":4,""060730162013"":4,""060730142001"":4}",FITNESS & RECREATIONAL SPORTS CENTERS,NAVAJO RD,"{'06073015000': 6, '06073014002': 4, '06073002803': 4, '06073013605': 4, '06073013601': 4, '06073009801': 4, '06073014700': 4, '06073016201': 4, '06073009604': 4, '06073009804': 4, '06073013801': 4, '06073013503': 4, '06073016100': 4, '06073015301': 4, '06073003501': 4}",0.993928079
24 HOUR FITNESS 872,92113,60730033012,"{""060730144002"":5,""060730201081"":5,""060730141021"":4,""060730032011"":4,""060730130003"":4,""060730065001"":4,""170978630031"":4,""060730032082"":4,""060730035022"":4,""060730042001"":4,""060650427291"":4,""060730010004"":4,""060730031032"":4,""060730085043"":4}","{""060730004002"":7,""060730085111"":6,""060730054004"":5,""060730127001"":4,""060730039022"":4,""060730118012"":4,""060730083501"":4,""060730046001"":4,""060730040003"":4,""060730027051"":4,""060730026021"":4,""060730079034"":4,""060730100142"":4,""060730035012"":4,""060730033042"":4,""060730033012"":4,""170978630031"":4,""060730079032"":4}",FITNESS & RECREATIONAL SPORTS CENTERS,IMPERIAL AVE,"{'06073014400': 5, '06073020108': 5, '06073014102': 4, '06073003201': 4, '06073013000': 4, '06073006500': 4, '17097863003': 4, '06073003208': 4, '06073003502': 4, '06073004200': 4, '06065042729': 4, '06073001000': 4, '06073003103': 4, '06073008504': 4}",0.981479512
24 HOUR FITNESS 888,92122,60730083402,"{""060730083552"":8,""060730186112"":8,""020200025022"":4,""060730056002"":4,""060730083432"":4}","{""060730083121"":7,""060730056002"":4,""060730083331"":4}",FITNESS & RECREATIONAL SPORTS CENTERS,LA JOLLA VILLAGE DR,"{'06073008355': 8, '06073018611': 8, '02020002502': 4, '06073005600': 4, '06073008343': 4}",0.755311176
28TH OIL INC,92113,60730039023,"{""060730148033"":19,""060730108002"":4,""060730027034"":4,""060730134213"":4,""060730093041"":4}","{""060730148033"":12,""060730050001"":5,""060730038001"":4,""530350814001"":4,""060730132051"":4,""060730032022"":4}",GASOLINE STATIONS,S 28TH ST,"{'06073014803': 19, '06073010800': 4, '06073002703': 4, '06073013421': 4, '06073009304': 4}",0.906141459
3 L LABORATORIES,92121,60730083461,"{""060730083631"":4}",{},MISCELLANEOUS MFG,LUSK BLVD,{'06073008363': 4},0.084537857
30TH STREET LAUNDRY,92104,60730014002,"{""060730079082"":4,""060730015002"":4,""060730116011"":4}","{""060730050001"":5,""060730042002"":4,""060730097042"":4}",COIN-OPERATED LAUNDRIES & DRYCLEANERS,30TH ST,"{'06073007908': 4, '06073001500': 4, '06073011601': 4}",0.67264934
4 LIBERTY INC,92123,60730093013,{},{},CONSULTING SERVICES,AERO DR,{},0
4 SEASON MARKET,92115,60730028031,"{""060730166093"":4,""060650432351"":4}","{""060650432351"":4}","BEER, WINE & LIQUOR STORES",EL CAJON BLVD,"{'06073016609': 4, '06065043235': 4}",0.157134776
4797 RUFFNER STREET LLC,92111,60730085111,"{""060730191013"":4}","{""060730203071"":7,""060730085111"":6,""060730095041"":4,""040159517002"":4,""060730090001"":4}",OTHER ACTIVITIES RELATED TO REAL ESTATE,RUFFNER ST,{'06073019101': 4},0.266965283
4JS MINI MART,92105,60730021003,"{""060730021004"":4,""060730083541"":4,""060730039022"":4}","{""060730022022"":8,""060730027051"":4,""060730039022"":4,""060730083541"":4,""060730189031"":4}","BEER, WINE & LIQUOR STORES",EL CAJON BLVD,"{'06073002100': 4, '06073008354': 4, '06073003902': 4}",0.639200563
4S PIZZERIA LLC,92127,60730170321,"{""060730170301"":9,""060730170313"":4,""060730170321"":4,""060730170304"":4}","{""060730170301"":9,""060730170321"":5,""060730202142"":4,""060730083501"":4}",FOOD SERVICES & DRINKING PLACES,DOVE CANYON RD,"{'06073017030': 9, '06073017031': 4, '06073017032': 4}",0.400150157
50 NORTH YACHTS,92106,60730071003,{},{},BOAT DEALERS,SHELTER ISLAND DR,{},0
55 THAI KITCHEN,92102,60730052002,"{""060730033042"":4}","{""060730052002"":4,""060730124023"":4,""060730033042"":4,""171978801152"":4}",LIMITED-SERVICE RESTAURANTS,BROADWAY nan,{'06073003304': 4},0.360964495
56143: BUSINESS SERVICE CENTERS,92106,60730214001,"{""060730165031"":4,""060730073023"":4,""060730142003"":4,""060730101033"":4,""060650427412"":4}","{""060730197021"":4,""060730072002"":4,""060730097031"":4,""060730083101"":4,""060730220002"":4,""060730142003"":4,""060730101033"":4}",OTH BUSINESS SERVICE CENTERS (INCL COPY SHOPS,ROSECRANS ST,"{'06073016503': 4, '06073007302': 4, '06073014200': 4, '06073010103': 4, '06065042741': 4}",0.790531553
5STAR AUTOMOTIVE,92102,60730041004,{},"{""060730041004"":4}",MOBILE DETAILING,MARKET ST,{},0
619 CHAMPIONSHIP LLC,92121,60730083502,"{""060730083483"":5,""060730083461"":4,""060730032011"":4,""060730170321"":4,""060730039012"":4,""320030029761"":4,""060730138013"":4}","{""060730138013"":9,""060730032011"":4,""060730083483"":4,""060590019021"":4,""060730083292"":4,""060730083461"":4,""060730083132"":4,""060730096023"":4}",OTHER PERSONAL CARE SERVICES,MIRA MESA BLVD,"{'06073008348': 5, '06073008346': 4, '06073003201': 4, '06073017032': 4, '06073003901': 4, '32003002976': 4, '06073013801': 4}",0.834453786
619 IT INC,92123,60730085111,"{""060730200273"":6,""060730097053"":4,""060730170091"":4,""060730151002"":4}","{""060730204043"":4,""060730083492"":4,""060730175012"":4,""060730083473"":4}",OTHER COMPUTER RELATED SERVICES,MURPHY CANYON RD,"{'06073020027': 6, '06073009705': 4, '06073017009': 4, '06073015100': 4}",0.593757599
619 MOTOR SPORTS,92113,60730039023,"{""060730033042"":4,""060730193013"":4,""060730133101"":4,""060590864051"":4,""060730207091"":4,""060730134213"":4,""060730038001"":4}","{""060730134213"":6,""060730039023"":4,""060730040002"":4}",ALL OTHER AUTOMOTIVE R&M,MAIN ST,"{'06073003304': 4, '06073019301': 4, '06073013310': 4, '06059086405': 4, '06073020709': 4, '06073013421': 4, '06073003800': 4}",0.85639684
619 MUSCLE INC,92109,60730078001,{},"{""060730083483"":4,""040190043341"":4,""060730094001"":4,""060730085063"":4,""060379203262"":4,""060730051001"":4}",FOOD (HEALTH) SUPPLEMENT STORES,GARNET AVE,{},0
655 WB OPERATING LLC,92101,60730054002,"{""060730054002"":5,""060730029022"":4,""060730169012"":4,""060650435042"":4}","{""060730052001"":4,""060730048002"":4,""060730054002"":4,""060730098022"":4,""060650504003"":4}",REAL ESTATE,W BROADWAY nan,"{'06073005400': 5, '06073002902': 4, '06073016901': 4, '06065043504': 4}",0.746025025
7 ELEVEN  2131 35860A,92103,60730004001,"{""060730054001"":4,""060730185132"":4}","{""060730032082"":4}",CONVENIENCE STORES,WASHINGTON ST,"{'06073005400': 4, '06073018513': 4}",0.522793978
7 ELEVEN #2111-13596A,92109,60730079081,"{""060730166123"":4,""060730216001"":4,""060730158021"":4}","{""360470406002"":6,""060730025022"":4}",CONVENIENCE STORES,BALBOA AVE,"{'06073016612': 4, '06073021600': 4, '06073015802': 4}",0.511663753
7 ELEVEN 18710D,92103,60730060001,"{""060730170552"":4}","{""060730062001"":4}",CONVENIENCE STORES,SPRUCE ST,{'06073017055': 4},0.120481538
7 ELEVEN 2111 13659G,92115,60730028031,"{""060730040001"":4,""060730027102"":4,""060730026013"":4,""060730028031"":4,""060730168024"":4}","{""060730028042"":4,""060730089021"":4,""060730027084"":4,""060730027121"":4}",CONVENIENCE STORES,EL CAJON BLVD,"{'06073004000': 4, '06073002710': 4, '06073002601': 4, '06073002803': 4, '06073016802': 4}",0.895547142
7 ELEVEN 33542,92123,60730085111,"{""060730020012"":5,""060730134092"":4,""060650504001"":4,""060730085111"":4,""060730159024"":4,""060730095054"":4,""060730095021"":4,""060730129001"":4}","{""060730085111"":12,""060730095021"":5,""060730095054"":5,""060730159024"":4}",CONVENIENCE STORES,CLAIREMONT MESA BLVD,"{'06073002001': 5, '06073013409': 4, '06065050400': 4, '06073008511': 4, '06073015902': 4, '06073009505': 4, '06073009502': 4, '06073012900': 4}",0.879886246
7 ELEVEN 34235,92110,60730066001,"{""060730156021"":4,""080690011141"":4,""040119602003"":4,""060730134012"":4}","{""060710021101"":4}",CONVENIENCE STORES,MIDWAY DR,"{'06073015602': 4, '08069001114': 4, '04011960200': 4, '06073013401': 4}",0.567866699
7 ELEVEN 36751B,92120,60730096044,"{""060730096034"":4}","{""060730096034"":7}",CONVENIENCE STORES,MISSION GORGE RD,{'06073009603': 4},0.265169661
7 ELEVEN 38052A,92104,60730012003,"{""060730059003"":4,""060371066452"":4,""060730025012"":4,""060730030031"":4}","{""060730125012"":4}",CONVENIENCE STORES,EL CAJON BLVD,"{'06073005900': 4, '06037106645': 4, '06073002501': 4, '06073003003': 4}",0.758194781
7 ELEVEN @2131-29370D,92154,60730101062,"{""060730101062"":4}","{""060730101062"":4,""060730104022"":4}",CONVENIENCE STORES,CORONADO AVE,{'06073010106': 4},0.562497083
7 ELEVEN STORE #17825F,92173,60730100131,"{""060730126004"":7,""060730132061"":7,""060730100132"":5,""060730100123"":4,""060730100131"":4,""060730083412"":4,""060730022011"":4,""060730101112"":4,""060730100053"":4}","{""060730100132"":6,""060730134192"":4,""060730022011"":4,""060730101063"":4,""060730100151"":4,""060730126004"":4,""060730100123"":4}",CONVENIENCE STORES,W SAN YSIDRO BLVD,"{'06073012600': 7, '06073013206': 7, '06073010013': 5, '06073010012': 4, '06073008341': 4, '06073002201': 4, '06073010111': 4, '06073010005': 4}",0.99804969
7 ELEVEN STORE #27163E,92154,60730101071,"{""060730133141"":4,""060730203041"":4,""060730101071"":4}","{""060730101071"":4}",CONVENIENCE STORES,PALM AVE,"{'06073013314': 4, '06073020304': 4, '06073010107': 4}",0.758736416
7 ELEVEN STORE 13633F,92115,60730029042,"{""060730029022"":4,""340090209022"":4,""060730027022"":4}","{""060730029022"":4}",CONVENIENCE STORES,COLLEGE AVE,"{'06073002902': 4, '34009020902': 4, '06073002702': 4}",0.638837038
7 ELEVEN STORE 231-34700,92173,60730100151,"{""060730146013"":4}",{},CONVENIENCE STORES,E SAN YSIDRO BLVD,{'06073014601': 4},0.14051611
7 ELEVEN STORE 27263E,92120,60730096043,"{""060730132034"":4,""060730096034"":4,""060730095091"":4,""060730206024"":4}","{""060730116021"":4,""060730096043"":4,""060730095091"":4}",CONVENIENCE STORES,MISSION GORGE RD,"{'06073013203': 4, '06073009603': 4, '06073009509': 4, '06073020602': 4}",0.734662275
7 ELEVEN STORE 33542C,92123,60730085111,"{""060730020012"":5,""060730134092"":4,""060650504001"":4,""060730085111"":4,""060730159024"":4,""060730095054"":4,""060730095021"":4,""060730129001"":4}","{""060730085111"":12,""060730095021"":5,""060730095054"":5,""060730159024"":4}",CONVENIENCE STORES,CLAIREMONT MESA BLVD,"{'06073002001': 5, '06073013409': 4, '06065050400': 4, '06073008511': 4, '06073015902': 4, '06073009505': 4, '06073009502': 4, '06073012900': 4}",0.879886246
7 ELEVEN STORE 33992,92116,60730012002,"{""060730139061"":4}","{""060730012002"":4,""060730139061"":4,""060730098024"":4}",CONVENIENCE STORES,MEADE AVE,{'06073013906': 4},0.370377472
7-ELEVEN 27659,92110,60730068021,{},"{""060730095041"":7,""060730159012"":5,""060730133141"":4,""060730132051"":4,""060730068022"":4,""060730085111"":4,""060730085011"":4}",CONVENIENCE STORES,MIDWAY DR,{},0
7-ELEVEN 27664C,92102,60730041002,"{""060730211001"":5,""060730163012"":4,""060730164021"":4,""060730212041"":4,""060730040002"":4,""060730041004"":4}","{""060730052001"":4,""060730164021"":4}",CONVENIENCE STORES,BROADWAY nan,"{'06073021100': 5, '06073016301': 4, '06073016402': 4, '06073021204': 4, '06073004000': 4, '06073004100': 4}",0.975917995
7-ELEVEN 32290B,92154,60730100151,"{""060730089021"":8,""060730133031"":4,""060730100142"":4,""060730131022"":4,""060730132062"":4,""060730030042"":4,""060730133131"":4,""060730078002"":4}","{""060730089021"":6,""060650433141"":4,""060650427152"":4,""060730132062"":4,""060730025023"":4,""060730219002"":4,""060730100142"":4,""060730020012"":4,""060730100053"":4,""060730133031"":4}",CONVENIENCE STORES,OTAY MESA RD,"{'06073008902': 8, '06073013303': 4, '06073010014': 4, '06073013102': 4, '06073013206': 4, '06073003004': 4, '06073013313': 4, '06073007800': 4}",0.979905161
7-ELEVEN 33694,92120,60730096041,"{""060730096041"":4,""060730096024"":4,""060730208092"":4,""060730139081"":4,""060730097032"":4,""060730097033"":4}","{""060730096044"":4,""060730208092"":4,""060375401024"":4,""060730040003"":4,""060730096041"":4,""060730146021"":4,""060290055083"":4,""060375004032"":4,""060730091061"":4,""060730096024"":4,""060730097033"":4,""060730159012"":4,""060730098011"":4}",CONVENIENCE STORES,WARING RD,"{'06073009604': 4, '06073009602': 4, '06073020809': 4, '06073013908': 4, '06073009703': 4}",0.709431444
7-ELEVEN 34243,92110,60730065001,"{""060730034041"":4}",{},CONVENIENCE STORES,SPORTS ARENA BLVD,{'06073003404': 4},0.369245169
7-ELEVEN STORE 13623,92109,60730079071,"{""060730079071"":4}","{""060730079071"":4,""060730029043"":4,""060730175011"":4}",CONVENIENCE STORES,GARNET AVE,{'06073007907': 4},0.244889882
7-ELEVEN STORE 22872-D,92106,60730214001,"{""060730214001"":8,""060730069001"":4,""060650507003"":4,""320310022071"":4,""060650435122"":4,""230310235001"":4,""060730100091"":4,""320030029612"":4}","{""060730214001"":5,""060730214003"":4,""060730003004"":4,""410390022023"":4,""060730100091"":4,""060650435122"":4}",CONVENIENCE STORES,ROSECRANS ST,"{'06073021400': 8, '06073006900': 4, '06065050700': 4, '32031002207': 4, '06065043512': 4, '23031023500': 4, '06073010009': 4, '32003002961': 4}",0.785245503
7-ELEVEN STORE 32940J,92101,60730053001,{},{},CONVENIENCE STORES,C ST,{},0
7-ELEVEN STORE 333555J-2121,92101,60730058001,{},"{""060730191051"":4}","BEER, WINE & LIQUOR STORES",W GRAPE ST,{},0
7-ELEVEN STORE 33992,91911,60730131032,"{""060730132062"":16,""060730131022"":12,""060730125012"":11,""060730132061"":11,""060730132051"":10,""060730131032"":10,""060730100094"":9,""060730100142"":9,""060730131041"":9,""060730130002"":8,""060730131043"":8,""060730131023"":7,""060730126003"":7,""060730132032"":6,""060730132033"":6,""060730102003"":6,""060730133031"":5,""060730131031"":5,""060730033052"":5,""060730100051"":5,""060730127001"":5,""060730100122"":5,""060730101101"":5,""060730100151"":5,""060730124012"":5,""060730101071"":5,""040131043011"":5,""060730133062"":4,""060730101105"":4,""060730132031"":4,""060730132034"":4,""060730100101"":4,""060730134012"":4,""060730178013"":4,""060730100132"":4,""060730025021"":4,""060730133022"":4,""060730101104"":4,""060650432421"":4,""060730104011"":4,""060730124022"":4,""060730133021"":4,""060730139091"":4,""060730100011"":4,""060730131042"":4,""060730131044"":4,""060730131021"":4,""060730168022"":4,""060730132041"":4,""480291720071"":4,""060770015004"":4,""060730156021"":4,""060730035011"":4,""060650503003"":4,""060730126001"":4,""060730102006"":4,""060730028011"":4,""060730100012"":4,""060730132043"":4,""060730041002"":4,""060730101042"":4,""060730133131"":4,""060730176042"":4,""060730100092"":4,""060730101121"":4,""060730133072"":4,""060730133011"":4,""060730017004"":4,""060730101111"":4,""061150403021"":4,""060730130004"":4,""060730105021"":4,""060379008033"":4,""060730100091"":4,""060730100053"":4,""060730133081"":4,""060730133071"":4,""060590639071"":4,""060730132063"":4,""060730027023"":4,""060730125022"":4,""060730104023"":4,""060730040002"":4,""060730133012"":4,""060730101061"":4,""060730100102"":4,""060730126004"":4,""060730126002"":4,""060730100112"":4}","{""060730132062"":12,""060730132051"":11,""060730131022"":11,""060730100142"":10,""060730132061"":9,""060730132033"":8,""060730100151"":8,""060730126003"":8,""060730131023"":7,""060730131042"":7,""060730033052"":7,""060730164023"":7,""060730132063"":6,""060730100091"":6,""060730101121"":6,""060730127001"":5,""060730131032"":5,""060730131031"":5,""060730127002"":5,""060730133011"":5,""060730126004"":5,""060730100092"":5,""060730130004"":5,""060730131041"":5,""060730133031"":5,""060730133022"":5,""060730102001"":4,""060730031072"":4,""060730100042"":4,""060730131043"":4,""480291720071"":4,""060730051002"":4,""060730132032"":4,""060730104023"":4,""060730130002"":4,""060730100053"":4,""060730100122"":4,""060730198063"":4,""061130113003"":4,""060730083461"":4,""060730088001"":4,""060730133021"":4,""060730104021"":4,""060730123042"":4,""060730132034"":4,""060730038001"":4,""060730134212"":4,""060730101033"":4,""060730101111"":4,""060730083501"":4,""180973406004"":4,""060730100012"":4,""060730100103"":4,""060730132043"":4,""060730100094"":4,""060375707011"":4,""060730133062"":4,""060730133141"":4,""060650432421"":4,""060730100132"":4,""060730101101"":4,""060730166141"":4,""060730125012"":4,""060730101071"":4,""060730126001"":4,""060730123021"":4,""060730133082"":4,""060730101042"":4,""060730133131"":4,""060730132041"":4,""060730085111"":4,""060730105023"":4,""060730100102"":4}",CONVENIENCE STORES,BROADWAY nan,"{'06073013206': 16, '06073013102': 12, '06073012501': 11, '06073013205': 10, '06073013103': 10, '06073010009': 9, '06073010014': 9, '06073013104': 9, '06073013000': 8, '06073012600': 7, '06073013203': 6, '06073010200': 6, '06073013303': 5, '06073003305': 5, '06073010005': 5, '06073012700': 5, '06073010012': 5, '06073010110': 5, '06073010015': 5, '06073012401': 5, '06073010107': 5, '04013104301': 5, '06073013306': 4, '06073010010': 4, '06073013401': 4, '06073017801': 4, '06073010013': 4, '06073002502': 4, '06073013302': 4, '06065043242': 4, '06073010401': 4, '06073012402': 4, '06073013909': 4, '06073010001': 4, '06073016802': 4, '06073013204': 4, '48029172007': 4, '06077001500': 4, '06073015602': 4, '06073003501': 4, '06065050300': 4, '06073002801': 4, '06073004100': 4, '06073010104': 4, '06073013313': 4, '06073017604': 4, '06073010112': 4, '06073013307': 4, '06073013301': 4, '06073001700': 4, '06073010111': 4, '06115040302': 4, '06073010502': 4, '06037900803': 4, '06073013308': 4, '06059063907': 4, '06073002702': 4, '06073012502': 4, '06073010402': 4, '06073004000': 4, '06073010106': 4, '06073010011': 4}",1
7-ELEVEN STORE 37624B,92154,60730100102,"{""060730100122"":6,""060730101092"":6,""060730133072"":5,""060730134161"":5,""060730100012"":4,""040134202083"":4,""060590320133"":4,""060730100011"":4,""060730101091"":4,""060730100092"":4,""060730100142"":4,""060730073011"":4,""060730133061"":4,""060730133102"":4,""060730134092"":4,""060730133131"":4,""060730133033"":4,""060730100102"":4,""060730105011"":4,""060730132041"":4}","{""060730124023"":5,""060730056001"":4,""360550060001"":4}",CONVENIENCE STORES,PALM AVE,"{'06073010012': 6, '06073010109': 6, '06073013307': 5, '06073013416': 5, '06073010001': 4, '04013420208': 4, '06059032013': 4, '06073010009': 4, '06073010014': 4, '06073007301': 4, '06073013306': 4, '06073013310': 4, '06073013409': 4, '06073013313': 4, '06073013303': 4, '06073010010': 4, '06073010501': 4, '06073013204': 4}",0.999980601
74 SUPPLY COMPANY,92126,60730170561,"{""060730092022"":6,""060650432543"":5,""060730104011"":4,""060730027031"":4,""060730170561"":4,""060590992441"":4,""060730133131"":4,""060730170521"":4,""060730124022"":4,""060730134093"":4,""060730083352"":4,""060730194032"":4,""060730168023"":4,""060730200211"":4}","{""060730170561"":9,""060730170521"":6,""060730194032"":4,""060730027031"":4,""060730165044"":4,""060730083481"":4,""060730170361"":4,""060730027071"":4,""060730134093"":4}",RETAIL SALES VIA INTERNET/WEBSITES,RANCHO CARMEL DR,"{'06073009202': 6, '06065043254': 5, '06073010401': 4, '06073002703': 4, '06073017056': 4, '06059099244': 4, '06073013313': 4, '06073017052': 4, '06073012402': 4, '06073013409': 4, '06073008335': 4, '06073019403': 4, '06073016802': 4, '06073020021': 4}",0.973412269
76 FRAH MINI MARKET,92115,60730023021,"{""050070208052"":4,""060730085053"":4,""060730096043"":4,""060730027102"":4,""390490102001"":4,""060730019001"":4}","{""060730095091"":5,""060730034011"":4,""060730026022"":4,""060730026023"":4,""060730147001"":4,""060730026021"":4}",CONVENIENCE STORES,EL CAJON BLVD,"{'05007020805': 4, '06073008505': 4, '06073009604': 4, '06073002710': 4, '39049010200': 4, '06073001900': 4}",0.59913095
777 NOODLE HOUSE,92105,60730023023,"{""060730051002"":4,""060730095022"":4}","{""060730170561"":4}",LIMITED-SERVICE EATING PLACES,UNIVERSITY AVE,"{'06073005100': 4, '06073009502': 4}",0.488879471
7776 SIERRA MAR INC,92126,60730083501,"{""060730208092"":6,""060730168091"":4,""060730083573"":4}","{""060730083501"":4}",OTHER FINANCIAL INVESTMENT ACTIVITIES,ARJONS DR,"{'06073020809': 6, '06073016809': 4, '06073008357': 4}",0.547174649
802 6TH AVE LLC,92101,60730053002,{},"{""060710008183"":4,""060375027003"":4,""060730200184"":4}",FULL-SERVICE RESTAURANTS,F ST,{},0
828 EVENTS INC,92106,60730214001,"{""060730069002"":4,""060730093062"":4,""060730093052"":4,""060730170431"":4,""060730093064"":4,""060730031071"":4,""060730095101"":4,""060730168101"":4}","{""060730093052"":4,""060730085061"":4,""060650427302"":4,""060730168101"":4,""060730170091"":4,""060650432652"":4,""480291201001"":4}",RENTAL & LEASING SERVICES,HISTORIC DECATUR RD,"{'06073006900': 4, '06073009306': 4, '06073009305': 4, '06073017043': 4, '06073003107': 4, '06073009510': 4, '06073016810': 4}",0.775388263
860 GARNET OPERATIONS LLC,92109,60730079052,"{""481872106043"":5,""060730008003"":4,""060730083103"":4,""060730051002"":4,""060730198043"":4,""060730170392"":4,""060730079102"":4,""060650430012"":4,""060730139072"":4,""150030074001"":4,""060590421142"":4,""060730078001"":4,""060730079052"":4}","{""060730079031"":6,""060730170472"":4,""060730198043"":4,""060730034014"":4,""320030058081"":4,""060590421142"":4,""150030074001"":4,""060730020022"":4,""060730091071"":4,""060730085033"":4,""060650430012"":4,""060650432202"":4,""060730170392"":4,""060730200172"":4,""060730087022"":4,""060730139072"":4,""060730118022"":4,""060730099021"":4,""060730083492"":4}",FOOD SERVICES & DRINKING PLACES,GARNET AVE,"{'48187210604': 5, '06073000800': 4, '06073008310': 4, '06073005100': 4, '06073019804': 4, '06073017039': 4, '06073007910': 4, '06065043001': 4, '06073013907': 4, '15003007400': 4, '06059042114': 4, '06073007800': 4, '06073007905': 4}",0.91090284
9 SPA,92109,60730078002,"{""060770052063"":4,""060730085024"":4}","{""060730083013"":4,""060730015003"":4}",MASSAGE PARLORS,GARNET AVE,"{'06077005206': 4, '06073008502': 4}",0.099857913
911 STUDIO SALON,91910,60730134213,"{""060730134161"":4}",{},MISCELLANEOUS STORE RETAILERS,OTAY LAKES RD,{'06073013416': 4},0.310800763
